evaluation,label
33大招加码稳增长，重要信号落地，A股正迎来前所未有,1.0
哈哈，等待花开时,1.0
为什么呢不尊重多数人的意见／仍,2.0
为什么呢不尊重多数人的意见／仍,2.0
想不明白啦：a股里还有比这票市,2.0
不要老想着分红了，今天的山煤国,2.0
三毛控[赞]每天两三毛钱能玩一天,2.0
老户股价己涨N倍，又看好末来不肯卖，所以想高分红，,2.0
负面情绪越来越严重，盘面看起来,2.0
服了你个老6,2.0
我们亏的是钱，有人折的是寿,2.0
北上资金在买天天跌,2.0
明天开始做T,1.0
全市场最拉几的票，最小气的主力！连个过节费都舍不得,2.0
海狗的走势,2.0
每一个在海控这里亏钱的，对海控不满的！可以去投诉中,2.0
压的太久，爆发越强。阳光，总在,1.0
让你给我添堵,2.0
扶稳站好，静侯升梯,1.0
昨天收盘后就说了，反对票起码有,2.0
找不到形容词骂这垃圾了，大家帮,2.0
这几天是占大盘的光，下周大盘回,1.0
中远海控真让人颠覆三观,2.0
垃圾股，吃垃圾长大的,2.0
我开始怀念你昨天暴涨2分的日子,1.0
这个大,1.0
累了。,2.0
感恩市场给的节日礼包，祝大家端午节安康！,1.0
衰股,2.0
不听人劝，亏死你们这些价值投资客去[傲],2.0
虾米互咬结束了没？,2.0
很难过只能卖这个垃圾股了，下跌,2.0
最烦织布机！载在张铭文手里了！,2.0
每天射一秒之后就全天了,2.0
晦气，买了你这个垃圾,2.0
坚守如山！[龙头股][庄家护盘][准备发射][一把梭][牛,1.0
海狗就是鸡肋，食之无味弃之可惜[好困惑],2.0
废股,2.0
万绿毛,2.0
下周出了，一年了～,2.0
有这样的董秘，亏钱了也舒服,1.0
成了大型织布机。,2.0
一分二分搞什么,2.0
暗潮涌动,2.0
所在板块都是红的就你绿的什么东,2.0
所在板块都是红的就你绿的什么东,2.0
散户的策略太简单了，只要有鸭蛋，肯定只卖不买…散户,2.0
中国国企净利王海控日成交量换手率还低过东方财富，股,2.0
为了再多收一点便宜货，继续买再大单打压，这是庄家的,2.0
跌不下来,1.0
中远海控毁了几百万个家庭[捂脸],2.0
主要是不甘心的小散太多了，涨不,2.0
人气下来了,2.0
为保证自己的身心健康，请远离垃,2.0
和大盘走势刚好相反，大盘先绿后,2.0
要向下了，这次不想下那就是真的主升浪开始,2.0
看着烦心啊！心累,2.0
涨涨涨价了,1.0
主力辛苦了，每天出货挺累,2.0
散户太差劲了，没人买,2.0
4月7日，14时14分59秒，难忘的时,1.0
4月7日，14时14分59秒，难忘的时,1.0
一阴破三线，下周看到13,2.0
这就是所谓的大盘股,2.0
你个垃圾,2.0
苟海公司等天收,2.0
净利1000多亿，什么是中国公民投资回报的权益，问海控,2.0
市值超过千亿的股不要买，太垃圾,2.0
黄金k,1.0
这个倒霉催的海狗，谁买谁倒霉，,2.0
一群韭菜花越抱怨越不会涨的,2.0
不知国家政策，完全瞎搞,2.0
这种半死不活，浪费时间。,2.0
就是不涨，散户无果,2.0
中远海控面临向上突破！,1.0
放心吧，小散坚持下去，它不会涨,2.0
散户拉不起一支股，却可以搞垮一,2.0
猪力去买垃圾股，不然,2.0
谁都救不了海狗啊,2.0
在垃圾市场遇上了垃圾股,2.0
这票为什么要跌？,2.0
垃圾货。,2.0
船运重大利好！！重磅发布，明天,1.0
差不多再砸个黄金坑你懂的,1.0
航运港口板块已创新高。[捂脸][,1.0
不涨点，端午节怎么去消费,2.0
死叉,2.0
已经死叉了。,2.0
再见，以后有机会再把亏得钱赚回,2.0
15.5埋伏，能否起飞看天意了,1.0
我们可能买了一个假海运股票,2.0
两天的涨幅一天就跌没了[憨笑],2.0
垃圾股，海控，早就走了不输不赢。,2.0
这股票盘子太大，回购也没用，上不去，拉高就跑。,2.0
15.18已满仓梭哈,1.0
你是不是要退市了,2.0
韭菜们已经不错了，没有大跌，继,1.0
真垃圾，不像盈利200多亿，倒像亏损200多亿,2.0
好了，持仓105天，亏了十五万，我走了，你可以涨了；,2.0
这么多人在骂万种，不知道他晚上做不做恶梦,2.0
大盘涨你在跌，大盘跌你在跌，板块涨你在跌，板块跌你,2.0
对中远海控无法用言语形容，大A盈利的佼佼者，市值管,2.0
再也买不到这样投资投机两相宜的股了！纠结于分红，踏,1.0
中远海控暴跌模式开始了，这次调整13元以下将创出新低,2.0
港口运输有所下滑，大家不看新闻,2.0
该来的总归会来,1.0
下午必破15，,2.0
啊散户难啊万挂了,2.0
自选股倒数第一,2.0
机构对管理层的愤怒，连续几天砸盘,2.0
儿子海外，这是要疯了吗[捂脸],2.0
假装10日线企稳，再骗一堆散户进来,2.0
看着碍眼,2.0
刚买的这个股票，请问下，这个股票是垃圾股吗,2.0
要砸跌停啊？垃圾,2.0
股票反映的是预期，股价已经翻了,1.0
效益好，就是不涨，你们不是看好,2.0
扶不起的阿斗,2.0
反弹失败，估计要向下了,2.0
迟早有大雷爆出，大资金和机构都是先知先觉聪明的，这,2.0
好好的股票被万绿龟搞成了垃圾,2.0
恶心真TM的恶心,2.0
现在大盘正，若没有大庄的打压，中远海控不可能负，老,1.0
必破15,2.0
真恶心,2.0
希望帮到大家,1.0
知道什么是垃圾股,2.0
有一说一：中远海控，如何是从龙变成虫的。,2.0
，恶心,2.0
哈哈，全仓新能源发家致富[大笑][大笑][大笑],1.0
出去一个月差不多回本了，回来看看，哎，还是这个吊样,2.0
海控今天收盘能在15元以上，海控,1.0
唉！人都不想做了！[大哭],2.0
卖了均胜电子买了你，我真是绝了,2.0
小票跌你跟，小票涨你不跟，学习下茅台 随便同流合污,2.0
不要脸的海控,2.0
这股有什么大病没看懂,2.0
版块大涨你不跟，版块回调跟得死死的,2.0
真的非常非常想骂人,2.0
必须破15今天,2.0
太稳了,1.0
天天新高气死你们韭菜们,2.0
做一次领头羊 我就给你筹码了  还在装啊,2.0
海控持现金2362亿不为净利1000亿国企市值保值增值护航,2.0
老万：敢骂我？把前面增持的股卖出去！让股价再落体一,2.0
做空的筹码差不多了，主要是一些,1.0
这种垃圾票拿来干嘛？,2.0
一涨下杀不比现在洗盘快[为什么],2.0
中远海控价值2元的股票，现在15元，泡沫巨大可想而知,2.0
我天天盯盘就是来见证你是如何跌跌不休，你就是这样回,2.0
一直在我的成本线徘徊，等我卖了估计就涨了,2.0
越来越觉得这股票有诈,2.0
业绩好股价下跌，Ａ股特性,2.0
必须破15,2.0
隔岸观火,2.0
不过也好，让那些投机客滚蛋。,2.0
嘛的，涨的时候不跟，跌的时候，,2.0
不玩了内部搞搞清爽再来,2.0
“砸”就能拣到便宜，不一定！有行市也有比市。,2.0
最大的特点就是只下不上,2.0
这货逢高卖出永远没有错,1.0
全仓海控了！,1.0
废物,2.0
今天有望一块以内,2.0
海控不涨，主要是里面几个大散T狗，T来T去，大庄都不,2.0
衰股,2.0
垃圾股，板块涨你不涨，板块跌你,2.0
15不卖的真啥瓜,2.0
终究是扛不住压力。,2.0
哈哈哈，暴跌，今天,2.0
这货，太无语啦？？？～～～～,2.0
中远海控啥也不是，港股才是他大哥，这都是领导有才。,2.0
学学你儿子吧！不争气的东西！,2.0
今天可以不看了,2.0
竞价万手都不到，废了,2.0
跌停板,2.0
买入[加油][鼓掌][大笑][大笑],1.0
希望今天涨停，挣个粽子钱，好过个端午节,1.0
大盘顶着左侧压力依旧走上升趋势，目前来说没有明显的,1.0
2000多亿市值 开盘都上下跳动，这个猪力太几把菜了,2.0
今天冲击涨停板，补涨一波行情 下周可能就要开始调整,2.0
利润利润分配方案通过了，股价反而跌，这不是打脸。,2.0
赌一把 跳空高开,1.0
近期二次板块大涨，这货都是垫底,2.0
一边停航，一边港口吞吐量同比增,2.0
从资金面来讲，内资不停的跑，北,2.0
强调理由没有用，我只看港口水运整体表。,2.0
港口水远，金叉，你死叉。大股东决定的利润分配方案，,2.0
中远海控就这样堕落下去。,2.0
大涨,1.0
长江电力历史新高，海狗还在寻底[怒],2.0
过气的龙头不如狗，海狗如此九安,2.0
分红后除权，就是一分钱没分到，还得交税，太不合理了,2.0
中遠股價啥時回到20以上啊,2.0
涨也骂，跌也骂，股市真的会使人,2.0
明天基建吃肉，海控大跌,2.0
分红后马上除息，其实一分钱没有分到，孙子们说这样公,2.0
上涨回跌，上涨下跌，什么逻辑，,2.0
虽说是我今早上出了，但是我坚持,1.0
我也不想骂这垃圾了，今天卖了一,2.0
发出的公告怎么不见了？,2.0
握草！居然又双叒叕怒重了4分钱，跑赢了不少ST股，这,2.0
鉴于中远海控管理层计划近期将上市公司亏损几百亿元，,2.0
港股马上超这个垃圾了,2.0
中远海控为什么走成这熊样？看空,2.0
北向开砸了xdm，好自为之吧,2.0
我割还不行吗？你可以涨了,2.0
'没人买，没人炒'，六个字总结,2.0
昨天两分，今天四分，明天是六分还是八分？[呲牙]真熬,2.0
海控管理层有无反省过市场会追捧净利千亿企业市值反爆,2.0
去年是海控。今年是海能。。别无选择,2.0
周线金叉时候做中长线耐心持有一个二十厘米跑不了,1.0
节前，完成交接。,1.0
猜对行业买错股，没办法,2.0
阿斗!!!,2.0
未分利润每股7.00元到哪去了，请,2.0
垃圾,2.0
怒涨四分,1.0
连板块都创新高了，这垃圾还在原,2.0
中远海能亏损的，今天又涨停，海控呢,2.0
6.1 新的一个月开始了，祝大家都开门红，也祝大朋友小,1.0
过气的龙头不如狗,2.0
感觉海控在憋大招，哈哈,1.0
明天节前最后一天，按照惯例，可能又会有个大拉升！,1.0
早说了买海能，哎，韭菜就喜欢追,2.0
全是空头，没有多头！板块都飞了还能走成这样也是绝了,2.0
板块连续大涨，海控连续出货，配,2.0
万劫不复万劫不复万劫不复万劫不,2.0
臭名远扬。,2.0
明天补涨,1.0
一起读，垃圾货。,2.0
内耗玩死所有的持有者,2.0
明天就刺激了，直接跳空低开低走，14.7见,2.0
"弱G3分走一天,就是不給漲",2.0
压盘太厉害,2.0
海能涨停了你这个垃圾,2.0
板块大涨，它只涨了一个寂寞,2.0
举报万敏,2.0
周四暴跌，哈哈,2.0
明天大盘冲击3200 祝大家发大财,1.0
可以涨了,1.0
明天补缺口14.7哈哈,1.0
海控你个弱鸡，你看看你兄弟还能,2.0
垃圾桶,2.0
就是垃圾,2.0
同一个父母生的，为何厚此薄彼?,2.0
同一个父母生的，为何厚此薄彼?,2.0
60日线就是个坎。,2.0
海特海能海发，哪个个都比你这个,2.0
大盘逆子给我冲冲冲冲！！！,1.0
其他都新高了这怎么了啊,2.0
这就是一个不要的脸的公司,2.0
一天2分一天2分，就这了,2.0
中远海运被主力抛弃了吗？,2.0
垃圾垃圾垃圾股,2.0
中远海能快赶上中远海控了，中远海控的春天还远吗，有,1.0
垃圾,2.0
这帮Cs脸都不要了，哦，根本就没脸,2.0
什么玩意搞什么,2.0
这个股你不服不行啊！,1.0
卖了粤桂买了你唉粤桂涨停了后悔,2.0
大涨的前奏,1.0
央企国企的股票碰不得[囧],2.0
反对票减仓中，时间漫长,2.0
声明：虚构,2.0
倒数第一是你的位置。,2.0
倒牌子，海运股板块走强，你却是倒数第二,2.0
不信明天别后悔,2.0
怎么感觉人家领导无所谓了，股价,2.0
早上反弹一波人气竟然飙升,1.0
海发要起飞了,1.0
我这个大儿童准备又回来了[大笑],1.0
够意思[想一下],1.0
废股,2.0
庄家跑了跑了跑了,2.0
最可恨这种公司，你说你关起门来称王称霸也就算了。既,2.0
快跑快跑快跑要跌了,2.0
走的真是够za的,2.0
买中远就为了回本，这个万敏,2.0
外盘指数涨，大A，暴跌，外盘跌,2.0
最懒董秘,2.0
再熬一个月，没有情况就走了,2.0
无所谓了，涨也不过也就是控制在,2.0
我清仓了你可以拉了,2.0
你以为他不涨， 就不要认为他不会跌,2.0
别卖，卖了就是韭菜,2.0
下周13.2，随便买，急啥啊，散户们,2.0
大盘涨不跟涨，大盘跌你跟爹，悲,2.0
呦，绿了耶，绿了耶,2.0
卧槽卧槽卧槽！又平盘了。。,2.0
国企高管伙團操控国企净利增长反股值市值爆跌剥夺股东,2.0
别装了绿龟,2.0
万gou,2.0
学学你爹东方海外,2.0
中远海能：海特：海发：海控4兄弟，就你最垃圾,2.0
航运港口板块略涨很大关系在于上海解封，有资金看好，,1.0
頁狗,2.0
乐色万,2.0
他为什么不动1、没庄、资金天天在流出2、没人玩他，看,2.0
万敏你真是一泡粑粑,2.0
绿了又如何，习惯了,2.0
今天不绿，说事故，可惜了,2.0
海控净利累积1362亿 股值市值被高管败家爆跌40%不能享,2.0
坑爹股，垃圾股，其它海运涨飞了,2.0
业绩最好涨幅垫底,2.0
买入[鼓掌][加油][鼓掌][大笑],1.0
什么原因海狗排名倒数,2.0
又要绿了么,2.0
投票就是暴露了散户太多这个事实,2.0
死垃圾,2.0
小气,2.0
真奇葩，其他海运股，都涨得离谱,2.0
港股都踏上均线了，A股海控还装模做样被60日线压着,2.0
散户：板块涨业绩好，主力你看不见吗？主力：股价爆涨,2.0
最佳董秘投票啦！每人每天可以投,2.0
高点一次比一次低,2.0
确实被炒过一遍的股短时间很难有,2.0
海控近期再也不会有从3块到33块的行情了[大笑],2.0
每股分红0.87元排在沪深股市中是190名中但，股价排在,2.0
希望下午来个大跌5个点，整个海,2.0
已跑，可以涨了！,2.0
这么有钱退市算了,2.0
这几天盘面明显有资金刻意压制海控股价，肯定不是出货,2.0
可以大胆融券了[得意],1.0
还有韭菜在幻想了，不服不行，骂,2.0
落魄的龙头不如鸡，现在海能是龙,2.0
垃圾就是垃圾,2.0
中远海控股票每天涨幅榜排第一，不过是倒数第一！厉害,2.0
经过这么一闹，现在全世界都知道,2.0
持续盈利，股价不可持续？,2.0
整个班级，总他倒数，拖后腿。。。。。,2.0
气死人的中远海控A股，拖了H股,2.0
猪在打压海狗[怒],2.0
走了走了,2.0
又是板块垫底，这个老狗,2.0
笑话,2.0
耻辱啊,2.0
说句实话 被老外低位买了 主力有点不甘心,2.0
中远系重祖。,1.0
兄弟们扛住扛住，最后一波下跌，,1.0
没什么可说的，还是一如既往的不如港股，看来实际控制,2.0
你有本事可以绿了,2.0
真心奉劝各位散户不要进来，进来,2.0
港股快超越你了,2.0
港股涨板块涨这个疯狂出货,2.0
笑话,2.0
拉高出货[大笑][大笑][大笑],2.0
抄底行么,2.0
平本跑了，留下几手，看看能到多,2.0
这个股真的有主力吗,2.0
14.27买的，不知道为什么板块那么好，它却一直出货,2.0
放心，百分百大绿下午,2.0
真的垃圾,2.0
说不定海狗今天下收绿,2.0
海控是托了东方海外的福，东方大涨，带了带海控，要不,2.0
哪位是股市卧龙？一卖就涨的那种,2.0
涨起来啊啊啊啊,1.0
东方海外牛逼,1.0
哈哈哈，一拉就大单出货，全是散户接盘,2.0
装死这么久啦，其它航运股涨疯了,2.0
又是散户再拉,2.0
看看股吧就知道下午能买了,1.0
真不要脸,2.0
今天又为打压股指立下汗马功劳。,1.0
航运界的耻辱啊,2.0
中远海控，继续你无敌垃圾的表演，H股的股价很快倒挂,2.0
遇担保赶紧跑，撤！12左右再进！,2.0
真TM的恶心,2.0
玩呢,2.0
真的好恶心,2.0
股一点活路都不给,2.0
大垃圾,2.0
跌破超短压力，今天看到15.1,2.0
一定要补缺口14.7,1.0
这货也太不争气了。。,2.0
垃圾飞天，绩优股 下地狱，板块下来 我不相信你不跌,2.0
也要调整几天,2.0
未来航运的茅台,1.0
垃圾，退市吧,2.0
下来吧，垃圾,2.0
又是倒数？,2.0
万敏啊有人你不做,2.0
这两天巴普洛夫出没[旺柴][旺柴],1.0
持股一年，体验差到极点。啥都不,2.0
T狗太多,2.0
明显没什么阻力也不拉，还滚动做,2.0
今天板块大涨，又被这个拖下来跳水了,2.0
废物东西,2.0
港股中远海控马上要超过A股股价,2.0
上海解封了，这对海控而言就是天,1.0
放心马上又板块倒数第一了，这是,2.0
垃圾货,2.0
来到中远海控几天了，天天做t爽,2.0
整个股市的跳水冠军，非你莫属,2.0
好久没涨停了,2.0
15.6不跑的，下午绿色收盘,2.0
骂怕了，只好涨涨，安慰受伤的心,1.0
海控大股东今天又增持了！,1.0
冲冲冲,1.0
冲破15.73,1.0
还好上月25号把他卖了换海能了[笑哭],1.0
天天垫底,2.0
海控管理层：A股这些小散骂的太厉害，让他们自生自灭,2.0
又是拖后提的，整个板块都起来了,2.0
好了，高点已出，开始出货下跌，呵呵。收15以下,2.0
你是真的垃圾,2.0
板块大涨3.30％了你小涨。。,2.0
挂16回本赚个手续费全出,1.0
真废物真搞笑，全是炒作,2.0
别再骗人了，下午又跌,2.0
稳定才是硬道理！,1.0
这狗垃圾,2.0
丢人现眼啊！,2.0
海运暴涨，你算什么东西,2.0
一大早垃圾又被大骂！确实对比板块确实太差劲了！海能,2.0
来猜下还用多久海控就要被超过？,2.0
价值的典范！纠结于分红，踏空于当下！中远海控价值重,1.0
板块3点多了…你特么还想跌，万,2.0
中远海能都比海控够意思,2.0
海能是你爷爷呢,2.0
过气的龙头不如,2.0
又又又又又又是板块倒数的，你这,2.0
今日板块涨这么好  应该涨停了吧,1.0
快跑，板块3个点了，这垃圾,2.0
别在往上拉了，都丢人丢到家了,2.0
这股被那些管理玩废了，连板块都涨不过,2.0
水运里面，你是真的垃圾,2.0
海能厉害,1.0
垃圾，快去你倒数第一的位置。,2.0
板块除了屁股（B股），又是第一,1.0
这垃圾货什么时候分红,2.0
兄弟啊，随便来个涨停就行，都两月没停了,1.0
同样是中远，为什么海能这么强？？海控这十天都长不过,2.0
开始逐步卖出,2.0
虽然我已经跑了，但是现在看这货,2.0
继续板块倒数第一，哈哈哈。主力坚决出货，散户大本营,2.0
举报万狗,2.0
真正牛逼股，昨天大盘大涨，它两,2.0
垃圾,2.0
这个背时股已经落后大盘不少多少,2.0
沪股通昨天竟然没交易？,2.0
破5日线，今天继续14.7,2.0
外资天天在进，内资天天在跑，还,2.0
跳空低开低走，绿6个点左右,2.0
为什么每天的竞价前20分钟都要打压？然后撤单？什么道,2.0
估计今天又是凉了,2.0
上午冲高，要减仓。下午调整是大概率,2.0
上海开始逐步复工,1.0
所以今天又要绿6个点左右？,2.0
公司良性发展的话，价值会不断提高,1.0
打板排板,1.0
【2022.6.1】又到儿童节了，祝愿大朋友小朋友快乐，小,1.0
必读！6月1日证券时报多次提及中远海控,1.0
今天涨了，涨了2分呢,1.0
纠结于分红踏空于当下！,2.0
主力尾盘出那么多[笑哭],2.0
都安静了，看来大家都心累了，无力吐槽了[撇嘴],2.0
这货清仓了，亏了1万,2.0
火候已到，明天应该大涨了，130亿回购和增持资金大量,1.0
真是“严重干旱”今天下来了“及时雨”啊...明天涨停,1.0
火候已到，明天应该大涨了,1.0
21本何时能回？分红真整没信心了。哪位大神给个意见，,2.0
越闹分红越是不涨[撇嘴],2.0
"已经影响很多人股民买车买房和消费了,当诛",2.0
一天天，不是唱空，就是分红回购的，这帮人什么居心！,2.0
卖飞南油，买入轮船，被套,2.0
散户真的不要再买中远了，这垃圾,2.0
公司股票价值能不通过分红来体现吗？嘿嘿嘿,1.0
一起举报吧，这股公司管理层都高,2.0
回购的可能性大，增持应该没有这么大的量。,2.0
大市大涨板块红，你怒涨2分！！,2.0
海控这条蠢猪，太浪费我的资金、,2.0
明天涨停,1.0
没有量，说别的都是白扯。,1.0
海控还有两成仓，持股一年，共亏10w，最近应该要选择,1.0
nmd,2.0
海狗终于把省心省力给熬割肉了，,2.0
垃圾！！！！！无语！！！！！,2.0
不要说了，我明天给你们啦个涨停,1.0
怒涨一分，微跌两毛的代表[呲牙],2.0
你永远滚出我的视线,2.0
这要是大盘不好还不得跌停？,2.0
还是港股牛逼啊，a股就是个渣,2.0
好了个碧,2.0
A股不挖蛀虫股市不会好。,2.0
明天暴涨1分,1.0
我还能用什么语言来形容你……,2.0
早说了，买海能，这个市场韭菜多,2.0
海控，还能骂吗？,2.0
大盘暴涨你一动不动,2.0
大垃圾,2.0
希望明天跌停,1.0
衰股,2.0
北向资金今天买入140亿，但是我,1.0
一天走的毫无创意，图一30顶背离后30没金叉出买点。图,2.0
开盘看一眼，收盘看一眼，尊重一,2.0
万敏啊你真不是个人啊,2.0
耻辱啊，二分钱玩一天,2.0
看来明天还得大跌了,2.0
海能这周就反超海控[牛][牛][牛],1.0
明天低开，百分百90,2.0
鳖孙股票,2.0
怒涨2分！,1.0
呦，又要砸啦,2.0
2分，恶心人呢,2.0
的海绿,2.0
快下来吧，我把卖飞的再补回来，就长期拿着国有资产啦,2.0
都谈分红，这下好了吧，大盘飞涨几天它跌，报复散户,2.0
明天大盘调整，海控绿7个点左右,2.0
垃圾股，表现太过垃圾，被人们抛,2.0
今天北向利用大盘和海控H的掩护继续出货，后面几天15,2.0
万敏啊你真不是个人啊,2.0
走了，留下的发财,2.0
一毛钱玩一天，格局真大,2.0
此股已成僵尸没有春天的,2.0
两天大盘涨他不涨，明天一定会大,1.0
有23块多套的吗？一直趴着，加仓港股摊薄的。,2.0
是金子总会发光，半年报业绩前有,1.0
快要被海能赶上了哈哈,2.0
我卖了，她就涨了！,2.0
又拉尾盘？,2.0
6/1船起航,1.0
到底大盘涨多少才能带动你个怂比,2.0
走吧，没得戏了。板块上行很多了,2.0
倒行逆施人人得以诛之,2.0
每股收益1.72，是我每买一股就有1.72的收益吗,2.0
买了这票只能自认倒霉，不管如何,2.0
大盘跌它跑得比兔子还快，大盘涨它原地踏步，厉害，服,2.0
回购为什么没有了音讯这不是骗我,2.0
好像有个什么组团忽悠的帖子几万粉的最近不发言了，是,2.0
明天的看点,1.0
这样的走势，好像在挖坑,1.0
快点卖出，因为万想想向低位先回,2.0
大盘这么好，万你这个,2.0
又绿了[为什么],2.0
今天怎么不跟H股了？,2.0
不要再和我说什么价值投资，在这个市场上除了投机还是,2.0
垃圾海控，拿闹情绪来压盘,2.0
股民请愿书，万敏必须下课，支持,2.0
海控的管理层其实是希望海控的股价跌的，最好是跌至4,2.0
天时地利人不和。干啥都打折扣。,2.0
听说六月份运费要涨价，是真的吗,1.0
谢谢关注,2.0
大盘涨、板块涨，ccfi也涨，海控照跌，大盘回到3200，,2.0
景气周期都不能被市场认可，以后,2.0
好好一个股，就成了这个德性。,2.0
现在大股东巴不得跌，好抄底,2.0
他们说中远海控不行，我不信，当,2.0
涨一天跌几天的节凑,2.0
到底万盖土了没有？,2.0
狂妄自大的管理层最终会付出该有的代价,2.0
去外面吃肉挨打都行，不要待在这,2.0
卧槽，真敢绿啊！,2.0
之前跌散户说是上海影响，现在复工，散户开始骂了，持,2.0
最近会轮动到海控嘛？？关注的其他股票都涨的不错，就,2.0
不分红就把股价太高，亲,2.0
万敏已挂，都给烧点,2.0
绿了。垃圾,2.0
自顾自套现，然后用一个分红方案,2.0
折磨死人的,2.0
最就买了，中远海拖。,2.0
在大股东的眼里，散户就同等于贱,2.0
北向出货，放弃了，内资不跟，北向也要走了,2.0
中远在你身上太TM耽误事啦！！！！！,2.0
这不，又要绿了,2.0
做个人吧，万狗,2.0
得罪广大股民的下场,2.0
跌的命运？,2.0
到底万敏盖土了没有？,2.0
垃圾,2.0
这是严重违反证券法,2.0
价值投资的悲哀啊，A股的耻辱,2.0
抗住啊不要往下掉,2.0
管理层出门？,2.0
太,2.0
无量白搭[献花],2.0
15.4清仓了10几万赚几百块，无语,2.0
中远系合并就无敌了！,1.0
垃圾。,2.0
我真服了港股疯狂往上窜，这个就拉稀[滴汗],2.0
未来预防会亏损，还是回购注销吧，不值两千多亿的市值,2.0
一群啥比当年三元咋不买,2.0
海控H是大股东在增持吗，这么强....,1.0
下午破15,2.0
虾虾争斗可休矣！,2.0
中狗什么时候分红谁知道，拿到分,2.0
真的要星辰大海了20可期,1.0
唉………吵s人了，要么走要么留。闹又闹不赢，别扯淡,2.0
中远系有可能最近合并了,1.0
看看中国远洋是怎么倒下的。这是重蹈复撤！,2.0
空狗压着不让涨[怒],2.0
股价来一波大涨，让大家开心开心呗[呲牙],1.0
反面人管理层中远海控,2.0
大家一起举报这公司吧！全世界航,2.0
还是垫底了,2.0
太弱了，只能T个生活费,2.0
这股赚钱的赶快卖吧不适合长期投资，分红已经明确告诉,2.0
拖拉机，早卖了。,2.0
要不要这么垃圾,2.0
草真今天进了这个，涨半天涨了五分钱，一秒钟给砸下来,2.0
能做个人么,2.0
啥样的行情能解救你,2.0
万敏是不是反向人格的人？让他做人，他偏偏不做人,2.0
大垃圾大翔,2.0
今天连15.50过不去？这是想骗炮吧,2.0
中远海绿,2.0
又套一批进去,2.0
急拉[抓狂],1.0
我相信是金子总会发光的你就是一块纯金埋在尘土中中远,1.0
砸不动，小散也拉不起，表现为无量，买卖都谨慎。估计,2.0
