"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2022年6月6日","9.070","8.846","9.210","8.784","-","2.53%"
"2022年6月5日","8.846","8.794","8.855","8.755","-","3.79%"
"2022年6月3日","8.523","8.412","8.693","8.267","75.23K","0.45%"
"2022年6月2日","8.485","8.783","9.057","8.377","119.01K","-2.43%"
"2022年6月1日","8.696","8.271","8.791","8.146","111.96K","6.76%"
"2022年5月31日","8.145","8.874","8.916","8.118","125.48K","-6.23%"
"2022年5月30日","8.686","8.819","8.908","8.598","-","-1.46%"
"2022年5月29日","8.815","8.829","8.841","8.701","-","1.01%"
"2022年5月27日","8.727","8.811","8.895","8.285","107.09K","-2.03%"
"2022年5月26日","8.908","8.984","9.401","8.785","1.47K","-0.70%"
"2022年5月25日","8.971","8.831","9.399","8.765","37.39K","1.99%"
"2022年5月24日","8.796","8.727","8.930","8.605","31.66K","0.59%"
"2022年5月23日","8.744","8.079","8.822","7.851","65.55K","8.18%"
"2022年5月20日","8.083","8.112","8.189","7.837","85.46K","-2.71%"
"2022年5月19日","8.308","8.240","8.500","7.905","90.58K","-0.72%"
"2022年5月18日","8.368","8.318","8.548","8.160","80.72K","0.77%"
"2022年5月17日","8.304","8.016","8.372","8.015","76.67K","4.37%"
"2022年5月16日","7.956","7.700","8.183","7.663","93.52K","3.82%"
"2022年5月13日","7.663","7.673","7.919","7.515","85.04K","-0.98%"
"2022年5月12日","7.739","7.637","7.790","7.255","107.06K","1.30%"
"2022年5月11日","7.640","7.312","7.721","7.296","120.93K","3.45%"
"2022年5月10日","7.385","7.030","7.463","6.430","185.46K","5.11%"
"2022年5月9日","7.026","7.843","8.287","6.962","202.62K","-12.64%"
"2022年5月6日","8.043","8.843","8.996","7.957","168.30K","-8.43%"
"2022年5月5日","8.783","8.355","8.913","8.117","160.16K","4.37%"
"2022年5月4日","8.415","7.815","8.474","7.729","132.32K","5.80%"
"2022年5月3日","7.954","7.540","8.169","7.539","153.34K","6.41%"
"2022年5月2日","7.475","7.412","7.617","7.219","110.92K","3.19%"
"2022年4月29日","7.244","6.939","7.335","6.805","109.24K","5.17%"
"2022年4月28日","6.888","7.395","7.422","6.879","139.57K","-6.15%"
"2022年4月27日","7.339","7.009","7.524","6.956","-","7.14%"
"2022年4月26日","6.850","6.836","7.050","6.662","41.41K","2.71%"
"2022年4月25日","6.669","6.414","6.966","6.345","32.52K","2.07%"
"2022年4月22日","6.534","6.938","7.080","6.438","80.60K","-6.08%"
"2022年4月21日","6.957","6.825","7.146","6.703","145.26K","0.29%"
"2022年4月20日","6.937","7.253","7.410","6.791","157.96K","-3.33%"
"2022年4月19日","7.176","7.776","7.939","6.954","237.00K","-8.24%"
"2022年4月18日","7.820","7.367","8.065","7.365","191.08K","7.12%"
"2022年4月14日","7.300","7.046","7.346","6.950","214.22K","4.33%"
"2022年4月13日","6.997","6.704","7.091","6.652","210.55K","4.75%"
"2022年4月12日","6.680","6.705","6.947","6.600","234.25K","0.56%"
"2022年4月11日","6.643","6.394","6.722","6.247","177.96K","5.81%"
"2022年4月8日","6.278","6.411","6.538","6.257","188.34K","-1.27%"
"2022年4月7日","6.359","6.116","6.440","6.000","199.51K","5.47%"
"2022年4月6日","6.029","6.078","6.394","6.000","166.72K","-0.05%"
"2022年4月5日","6.032","5.782","6.201","5.771","158.22K","5.60%"
"2022年4月4日","5.712","5.745","5.857","5.650","137.18K","-0.14%"
"2022年4月1日","5.720","5.627","5.778","5.505","178.52K","1.38%"
"2022年3月31日","5.642","5.575","5.832","5.454","159.72K","0.66%"
"2022年3月30日","5.605","5.329","5.624","5.270","117.85K","5.04%"
"2022年3月29日","5.336","5.453","5.491","5.255","2.27K","-3.12%"
"2022年3月28日","5.508","5.551","5.652","5.419","33.91K","-1.13%"
"2022年3月25日","5.571","5.401","5.577","5.345","29.47K","3.15%"
"2022年3月24日","5.401","5.115","5.464","5.063","84.23K","3.23%"
"2022年3月23日","5.232","5.147","5.330","5.092","74.54K","0.87%"
"2022年3月22日","5.187","4.948","5.204","4.877","122.75K","5.86%"
"2022年3月21日","4.900","4.909","4.976","4.748","75.46K","0.76%"
"2022年3月18日","4.863","4.930","4.957","4.811","67.27K","-2.55%"
"2022年3月17日","4.990","4.747","5.001","4.691","93.84K","5.10%"
"2022年3月16日","4.748","4.625","4.776","4.594","80.52K","3.94%"
"2022年3月15日","4.568","4.679","4.682","4.459","86.94K","-1.93%"
"2022年3月14日","4.658","4.705","4.759","4.506","73.96K","-1.42%"
"2022年3月11日","4.725","4.657","4.797","4.622","84.51K","2.03%"
"2022年3月10日","4.631","4.520","4.671","4.499","81.81K","2.32%"
"2022年3月9日","4.526","4.569","4.625","4.450","95.13K","-0.02%"
"2022年3月8日","4.527","4.818","4.882","4.507","159.17K","-6.33%"
"2022年3月7日","4.833","5.041","5.184","4.781","130.86K","-3.65%"
"2022年3月4日","5.016","4.750","5.045","4.728","125.39K","6.23%"
"2022年3月3日","4.722","4.795","4.936","4.628","137.15K","-0.84%"
"2022年3月2日","4.762","4.600","4.911","4.600","141.69K","4.13%"
"2022年3月1日","4.573","4.408","4.627","4.340","112.55K","3.88%"
"2022年2月28日","4.402","4.620","4.683","4.366","107.19K","-1.52%"
"2022年2月25日","4.470","4.573","4.716","4.417","114.86K","-2.15%"
"2022年2月24日","4.568","4.603","4.940","4.293","3.54K","-1.19%"
"2022年2月23日","4.623","4.504","4.704","4.452","47.18K","2.78%"
"2022年2月22日","4.498","4.594","4.861","4.448","42.64K","-4.40%"
"2022年2月21日","4.705","4.580","4.745","4.520","-","2.75%"
"2022年2月20日","4.579","4.529","4.598","4.527","-","3.34%"
"2022年2月18日","4.431","4.517","4.654","4.371","73.22K","-1.23%"
"2022年2月17日","4.486","4.642","4.793","4.402","117.79K","-4.90%"